Instance,Budget,Rate,Optimistic, Pes Leader Opt Follower, Pessimistic, Opt Leader Pes Follower
1,64,0.1,17.0,19.0,88.0,112.0
1,64,0.4,42.0,52.0,88.0,88.0
1,64,0.7,67.0,75.0,88.0,88.0
1,64,1,88.0,88.0,88.0,88.0
1,72,0.1,17.0,19.0,84.0,112.0
1,72,0.4,40.0,50.0,84.0,84.0
1,72,0.7,64.0,73.0,84.0,84.0
1,72,1,84.0,84.0,84.0,84.0
1,80,0.1,17.0,19.0,80.0,112.0
1,80,0.4,39.0,47.0,80.0,80.0
1,80,0.7,61.0,70.0,80.0,80.0
1,80,1,80.0,80.0,80.0,80.0
1,88,0.1,17.0,19.0,76.0,112.0
1,88,0.4,37.0,45.0,76.0,76.0
1,88,0.7,58.0,67.0,76.0,76.0
1,88,1,76.0,76.0,76.0,76.0
1,96,0.1,17.0,19.0,72.0,112.0
1,96,0.4,36.0,43.0,72.0,72.0
1,96,0.7,55.0,65.0,72.0,72.0
1,96,1,72.0,72.0,72.0,72.0
